title_x,imdb_id,poster_path,wiki_link,title_y,original_title,is_adult,year_of_release,runtime,genres,imdb_rating,imdb_votes,story,summary,tagline,actors,wins_nominations,release_date,directors_name,directors_born_year,directors_profession,writers_name,writers_born_year,writers_profession
My Birthday Song,tt4335954,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/My_Birthday_Song_-_Poster.jpg/220px-My_Birthday_Song_-_Poster.jpg,https://en.wikipedia.org/wiki/My_Birthday_Song,My Birthday Song,My Birthday Song,0.0,2018.0,95,Thriller,5.5,215.0,After a wild night of impulse and passion  advertising executive Rajiv Kaul must navigate the murky lines between life  death  fact  and fiction.,After a wild night of impulse and passion  advertising executive Rajiv Kaul must navigate the murky lines between life  death  fact  and fiction.,,Nora Fatehi|Elena Kazan|Suparna Krishna|Pitobash|Sameer Sharma|Zenia Starr|,,19 January 2018 (India),Samir Soni,\N,director|writer|producer,Samir Soni|Vrushali Telang,\N|\N,director|writer|producer|writer|assistant_director
Tamanchey,tt2317135,https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Tamanchey_poster.jpg/220px-Tamanchey_poster.jpg,https://en.wikipedia.org/wiki/Tamanchey,Tamanchey: Pyar Mein Dil Pe Maar De Goli,Tamanchey: Pyar Mein Dil Pe Maar De Goli,0.0,2014.0,113,Crime|Romance,4.6,275.0,An aggressive  passionate acidic love story between two criminals whilst on the run from the law.,An aggressive  passionate acidic love story between two criminals whilst on the run from the law.,,Nikhil Dwivedi|Richa Chadha|Damandeep Singh|Vijay Pande|Talib Mehdi|Tushar Phulke|Mahesh Gupta|Prasad Labhe|Fareed Khan|Raj Chauhan|Kislaya Dwivedi|,,10 October 2014 (India),Navneet Behal,\N,director|writer|visual_effects,Shailesh Singh,\N,writer
Raaz: Reboot,tt5639388,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Raaz_reboot_film_poster.jpg/220px-Raaz_reboot_film_poster.jpg,https://en.wikipedia.org/wiki/Raaz_Reboot,Raaz Reboot,Raaz Reboot,0.0,2016.0,128,Horror|Mystery|Romance,4.5,1543.0,Rehaan and Shaina are newly married as Rehaan gets a job offer as a Venture Capitalist for the East European Finance Company they had actually fallen in love in Romania Shaina insists Rehan to take up the job while Rehan is reluctant a she has a secret to hide in Romania Shaina soon experiences paranormal activities but Rehan refuses to believe while on a business trip Rehan receives a frantic call from Shaina requesting for help as she is trapped in telephone booth in a rural area where she had gone to seek help on paranormal activities happening around her.Shaina and Rehaan take the help of a local Priest but he cant help them much Aditya Shrivastava former lover of Shaina comes to rescue her from the evil spirit.,The fourth installment of a horror series that explores secrets  mysteries and human frailties.,Secrets are the enemy of love.,Emraan Hashmi|Kriti Kharbanda|Suzanna Mukherjee|Gaurav Arora|Ashwath Bhatt|Hargun Grover|Trupti Agarwal|,,16 September 2016 (India),Vikram Bhatt,1969,writer|director|producer,Vikram Bhatt|Girish Dhamija,1969|\N,writer|director|producer|writer|miscellaneous|director
Veerey Ki Wedding,tt7262178,https://upload.wikimedia.org/wikipedia/en/thumb/7/7d/Veerey_Ki_Wedding_-_Poster.jpg/220px-Veerey_Ki_Wedding_-_Poster.jpg,https://en.wikipedia.org/wiki/Veerey_Ki_Wedding,Veerey Ki Wedding,Veerey Ki Wedding,0.0,2018.0,131,Comedy|Romance,2.8,380.0,What happens when the most eligible bachelor in Delhi  Veerey messes up his first meeting with the father of his beloved? The most fatal blow to the loved-up couple: NO blessing from the father-in-law! Not helping the matter further  is Veerey's elder cousin brother  Balli  who threatens the would-be in-laws with dire consequences if anyone dares to break Veerey's heart.,What happens when the most eligible bachelor in Delhi  Veerey messes up his first meeting with the father of his beloved? The most fatal blow to the loved-up couple: NO blessing from the ...                    ,,Pulkit Samrat|Jimmy Sheirgill|Kriti Kharbanda|Satish Kaushik|Supriya Karnik|Yuvika Chaudhry|Payal Rajput|Rajesh Bakshi|Abhishek Duhan|Sumeet Samnani|Micky Makhija|Chandan Bakshi|Nishi Singh|Vidyadhar Karmakar|,,2 March 2018 (India),Ashu Trikha,\N,director|special_effects|writer,Dilip Shukla,\N,writer|director
Yeh Dooriyan,tt1826051,https://upload.wikimedia.org/wikipedia/en/9/98/Yeh_Dooriyan.jpg,https://en.wikipedia.org/wiki/Yeh_Dooriyan,Yeh Dooriyan,Yeh Dooriyan,0.0,2011.0,107,Drama|Romance,5.1,68.0,This is the story of a strong 35 year old beautiful and a famous choreographer divorced with two kids  living alone and is forced by her peers and family to remarry and find a father for her kids. She promises that she will marry any guy that loves her children as much as her.,A divorced businesswoman with two children falls in love with a much younger man.,Love after divorce......is it a crime?,Deepshika Nagpal|Inder Kumar|Delnaaz Irani|Chitrashi Rawat|Kunickaa Sadanand|Achint Kaur|Rajesh Khera|Shishir Sharma|Anita Wahi|Ayub Khan|Baby Vidhir|Master Vivak|Kaishav Arora|,,26 August 2011 (India),Deepshika Nagpal,1977,actress|writer|producer,Deepshika Nagpal,1977,actress|writer|producer
Gully Boy,tt2395469,https://upload.wikimedia.org/wikipedia/en/thumb/0/07/Gully_Boy_poster.jpg/220px-Gully_Boy_poster.jpg,https://en.wikipedia.org/wiki/Gully_Boy,Gully Boy,Gully Boy,0.0,2019.0,153,Drama|Music,8.2,22440.0,"Gully Boy is a film about a 22-year-old boy ""Murad"" from a ghetto in Mumbai  India. The son of a driver  his parents worked hard to get him educated so that he could have a white collar job. Meanwhile  Murad realizes his calling to be a rapper. Authentic Hip Hop in India is a recent phenomenon and like anywhere else in the world  is rising from the streets. Art is a distant dream for the colonized poor of India and this story is about Murad's journey from realizing his love for rap and chasing his dream to inadvertently transcending his class. The film showcases street rap from the crevices of Mumbai's by lanes. The poetry is conscious of the city's socio-economic fabric and highlights the challenges faced by the disenfranchised youth in the minority population.",A coming-of-age story based on the lives of street rappers in Mumbai.,Apna Time Aayega!,Ranveer Singh|Alia Bhatt|Siddhant Chaturvedi|Vijay Raaz|Amruta Subhash|Vijay Varma|Kalki Koechlin|Ikhlaque Khan|Sheeba Chaddha|Jyoti Subhash|Rahul Piske|Nakul Sachdeva|Shruti Chauhan|Aishwarya Desai|,6 wins & 3 nominations,14 February 2019 (USA),Zoya Akhtar,1972,writer|producer|director,Zoya Akhtar|Reema Kagti|Vasundhara Koshy|Vijay Maurya,1972|\N|\N|1972,writer|producer|director|writer|producer|assistant_director|script_department|actor|writer|music_department
Satyameva Jayate (2018 film),tt8202612,https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Satyameva_Jayate_-_2018_Movie_Poster.jpg/220px-Satyameva_Jayate_-_2018_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Satyameva_Jayate_(2018_film),Satyameva Jayate,Satyameva Jayate,0.0,2018.0,140,Action|Thriller,5.6,5446.0,"There are about 2 Lakh policemen in Mumbai. Tasked with the safety of this enormous city  a majority of them don't necessarily have the ""cleanest"" of vardis. When four such police inspectors are burnt alive in a series of merciless killings  the entire police force is rocked with terror. The media is looking for answers. The public is on the fence over these killings. These crimes reflect Vir as a person. Bold  Calculating  and Unapologetic. He's not scared of killing  or dying. It was clear that he had an agenda. A reason. A drive; behind these deaths and he was far from done. Fearing the next attack  the Commissioner calls upon their best bet to catch Vir. DCP Shivansh is what a proper policeman looks like. Strong  Courageous  Patriotic and most importantly  ""Clean."" And of course  he's the best at what he does. What follows is a succession of events that will test his Probity to the fullest. He is up against Vir  who is a vigilante and will stop at nothing to complete his mission. ...",DCP Shivansh has been tasked to catch Vir  the man behind police killings in the city. Both are eventually against the same enemy but divided by a fine line  the law.,Beimaan pitega| corruption mitega!,John Abraham|Manoj Bajpayee|Aisha Sharma|Amruta Khanvilkar|Manish Chaudhary|Myrah Dandekar|Devdutta Nage|Nora Fatehi|,5 nominations,15 August 2018 (USA),Milap Zaveri,\N,writer|director|actor,Milap Zaveri,\N,writer|director|actor
Rascals (2011 film),tt1830786,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Rascals2.jpg/220px-Rascals2.jpg,https://en.wikipedia.org/wiki/Rascals_(2011_film),Rascals,Rascals,0.0,2011.0,128,Action|Comedy|Crime,2.9,2377.0,After conning and humiliating a Mumbai-based gangster  Anthony Gonsalves  on two different occasions  two con-men  Bhagat Bhosle - who stole a suitcase containing cash - and Chetan Chouhan - who stole his vehicle - end up in Bangkok. Once there  Chetan poses as a social worker and attempts to raise funds for orphans in Somalia as well as win the heart of a wealthy woman  Khushi. Bhagat also ventures on the scene and attempts to win her heart by feigning blindness. The duo make hilarious attempts to outdo each other - little knowing that soon things are going to change after Khushi gets abducted by a vengeful Anthony.,Two rival con-men attempt to outdo each other to woo a wealthy woman.,,Ajay Devgn|Sanjay Dutt|Kangana Ranaut|Lisa Haydon|Arjun Rampal|Satish Kaushik|Hiten Paintal|Chunky Pandey|,,6 October 2011 (India),David Dhawan,\N,director|editor|writer,Sanjay Chhel|Yunus Sajawal,\N|\N,writer|music_department|director|writer|director
M.S. Dhoni: The Untold Story,tt4169250,https://upload.wikimedia.org/wikipedia/en/thumb/3/33/M.S._Dhoni_-_The_Untold_Story_poster.jpg/220px-M.S._Dhoni_-_The_Untold_Story_poster.jpg,https://en.wikipedia.org/wiki/M.S._Dhoni:_The_Untold_Story,M.S. Dhoni: The Untold Story,M.S. Dhoni: The Untold Story,0.0,2016.0,184,Biography|Drama|Sport,7.7,29352.0,Mahendra Singh Dhoni is a goalkeeper in school football team.Bannerjee a school cricket coach asks him to join his cricket team and practice daily with him for two hours time passes and he becomes a big state level cricketer but for a long time his luck doesn't favor him to become a member of Indian Cricket team.Dhoni takes up a job in Indian Railways as a ticket checker and plays cricket for the railways after long wait of 4 years he gets selected in Indian Cricket team and turns to be one of the best cricketing captains in history of Indian Cricket.,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,The man you know... The journey you don't.,Sushant Singh Rajput|Kiara Advani|Anupam Kher|Disha Patani|Bhoomika Chawla|Sanjay Dadich|Kali Prasad Mukherjee|Zeeshaan|Mithu Chakraborty|Kranti Prakash Jha|Ashrut Jain|Brijendra Kala|Mukesh Bhatt|Jitin Gulati|,6 wins & 11 nominations,30 September 2016 (USA),Neeraj Pandey,\N,writer|editorial_department|director,Neeraj Pandey|Dilip Jha|Mohinder Pratap Singh|Shyam Maheshwari,\N|\N|\N|\N,writer|editorial_department|director|writer|writer|director|producer|assistant_director|director|writer
7 Khoon Maaf,tt1629376,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/7KhoonMaaf_poster_ver1.jpg/220px-7KhoonMaaf_poster_ver1.jpg,https://en.wikipedia.org/wiki/7_Khoon_Maaf,Seven Sins Forgiven,7 Khoon Maaf,0.0,2011.0,137,Drama|Mystery|Thriller,6.1,5059.0,After the passing of his Pondicherry-born mentor  Susanna  Mumbai-based Dr. Arun Kumar Singh narrates his story to his wife  Nalini. With photographs from an old album that he has never shared with anyone  he informs her as to how Susanna caught him stealing; got him to quit his job & enrolled in a Panchgani school  as well as arranged for further education in St. Petersburg. While Susanna herself searched for true love and her marriages with six deceased men - including the abusive Major Edwin Rodrigies; drug-addicted and womanizer guitarist-singer Jamshed Singh Rathore; impotent and abusive Mohammad Wasiullah Khan; bigamist/spy Nicolai Vronski; Inspector Keemat Lal; and Dr. Modhusodon Tarafdar - men who influenced her life  broke her heart - and met with sudden and mysterious deaths.,Susanna's quest for love leads to a series of marriages  each ending in the mysterious death of her latest husband.,,Priyanka Chopra|Vivaan Shah|Neil Nitin Mukesh|John Abraham|Irrfan Khan|Konkona Sen Sharma|Alexander Diachenko|Shashi Malviya|Annu Kapoor|Naseeruddin Shah|Usha Uthup|Manuj Bhaskar|Harish Khanna|Ayush Tandon|,5 wins & 10 nominations,18 February 2011 (USA),Vishal Bhardwaj,\N,composer|soundtrack|writer,Ruskin Bond|Matthew Robbins|Vishal Bhardwaj,1934|1945|\N,writer|actor|writer|director|actor|composer|soundtrack|writer
